Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,2093.600098,2093.600098,2093.600098,2093.600098,2093.600098,0
03/01/1990,2091.47998,2091.47998,2091.47998,2091.47998,2091.47998,0
04/01/1990,2075.52002,2075.52002,2075.52002,2075.52002,2075.52002,0
05/01/1990,2058.070068,2058.070068,2058.070068,2058.070068,2058.070068,0
08/01/1990,2065.370117,2065.370117,2065.370117,2065.370117,2065.370117,0
09/01/1990,2044.430054,2044.430054,2044.430054,2044.430054,2044.430054,0
10/01/1990,2031.430054,2031.430054,2031.430054,2031.430054,2031.430054,0
11/01/1990,2038.400024,2038.400024,2038.400024,2038.400024,2038.400024,0
12/01/1990,1991.23999,1991.23999,1991.23999,1991.23999,1991.23999,0
15/01/1990,1974.219971,1974.219971,1974.219971,1974.219971,1974.219971,0
16/01/1990,1991.77002,1991.77002,1991.77002,1991.77002,1991.77002,0
17/01/1990,1975.810059,1975.810059,1975.810059,1975.810059,1975.810059,0
18/01/1990,1978.030029,1978.030029,1978.030029,1978.030029,1978.030029,0
19/01/1990,1983.209961,1983.209961,1983.209961,1983.209961,1983.209961,0
22/01/1990,1937.109985,1937.109985,1937.109985,1937.109985,1937.109985,0
23/01/1990,1941.339966,1941.339966,1941.339966,1941.339966,1941.339966,0
24/01/1990,1931.189941,1931.189941,1931.189941,1931.189941,1931.189941,0
25/01/1990,1909.719971,1909.719971,1909.719971,1909.719971,1909.719971,0
26/01/1990,1905.48999,1905.48999,1905.48999,1905.48999,1905.48999,0
29/01/1990,1900.420044,1900.420044,1900.420044,1900.420044,1900.420044,0
30/01/1990,1886.670044,1886.670044,1886.670044,1886.670044,1886.670044,0
31/01/1990,1919.130005,1919.130005,1919.130005,1919.130005,1919.130005,0
01/02/1990,1919.339966,1919.339966,1919.339966,1919.339966,1919.339966,0
02/02/1990,1932.349976,1932.349976,1932.349976,1932.349976,1932.349976,0
05/02/1990,1938.689941,1938.689941,1938.689941,1938.689941,1938.689941,0
06/02/1990,1927.910034,1927.910034,1927.910034,1927.910034,1927.910034,0
07/02/1990,1948.839966,1948.839966,1948.839966,1948.839966,1948.839966,0
08/02/1990,1946.52002,1946.52002,1946.52002,1946.52002,1946.52002,0
09/02/1990,1949.689941,1949.689941,1949.689941,1949.689941,1949.689941,0
12/02/1990,1930.22998,1930.22998,1930.22998,1930.22998,1930.22998,0
13/02/1990,1933.410034,1933.410034,1933.410034,1933.410034,1933.410034,0
14/02/1990,1937.209961,1937.209961,1937.209961,1937.209961,1937.209961,0
15/02/1990,1952.969971,1952.969971,1952.969971,1952.969971,1952.969971,0
16/02/1990,1942.920044,1942.920044,1942.920044,1942.920044,1942.920044,0
20/02/1990,1917.76001,1917.76001,1917.76001,1917.76001,1917.76001,0
21/02/1990,1914.589966,1914.589966,1914.589966,1914.589966,1914.589966,0
22/02/1990,1906.22998,1906.22998,1906.22998,1906.22998,1906.22998,0
23/02/1990,1896.400024,1896.400024,1896.400024,1896.400024,1896.400024,0
26/02/1990,1916.589966,1916.589966,1916.589966,1916.589966,1916.589966,0
27/02/1990,1926.109985,1926.109985,1926.109985,1926.109985,1926.109985,0
28/02/1990,1935.72998,1935.72998,1935.72998,1935.72998,1935.72998,0
01/03/1990,1940.48999,1940.48999,1940.48999,1940.48999,1940.48999,0
02/03/1990,1955.819946,1955.819946,1955.819946,1955.819946,1955.819946,0
05/03/1990,1947.150024,1947.150024,1947.150024,1947.150024,1947.150024,0
06/03/1990,1968.51001,1968.51001,1968.51001,1968.51001,1968.51001,0
07/03/1990,1964.280029,1964.280029,1964.280029,1964.280029,1964.280029,0
08/03/1990,1980.98999,1980.98999,1980.98999,1980.98999,1980.98999,0
09/03/1990,1968.619995,1968.619995,1968.619995,1968.619995,1968.619995,0
12/03/1990,1972.109985,1972.109985,1972.109985,1972.109985,1972.109985,0
13/03/1990,1958.780029,1958.780029,1958.780029,1958.780029,1958.780029,0
14/03/1990,1963.329956,1963.329956,1963.329956,1963.329956,1963.329956,0
15/03/1990,1968.829956,1968.829956,1968.829956,1968.829956,1968.829956,0
16/03/1990,1987.02002,1987.02002,1987.02002,1987.02002,1987.02002,0
19/03/1990,1994.839966,1994.839966,1994.839966,1994.839966,1994.839966,0
20/03/1990,1984.790039,1984.790039,1984.790039,1984.790039,1984.790039,0
21/03/1990,1975.380005,1975.380005,1975.380005,1975.380005,1975.380005,0
22/03/1990,1952.969971,1952.969971,1952.969971,1952.969971,1952.969971,0
23/03/1990,1960.900024,1960.900024,1960.900024,1960.900024,1960.900024,0
26/03/1990,1962.47998,1962.47998,1962.47998,1962.47998,1962.47998,0
